"age","job","marital","education","default","housing","loan","contact","month","day_of_week","duration","campaign","pdays","previous","poutcome","emp.var.rate","cons.price.idx","cons.conf.idx","euribor3m","nr.employed","y"
29,"technician","married","professional.course","no","no","no","telephone","may","tue",492,2,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,0
51,"blue-collar","married","basic.9y","no","yes","no","cellular","jul","wed",561,9,999,0,"nonexistent",1.4,93.918,-42.7,4.957,5228.1,1
69,"services","married","unknown","no","no","no","telephone","jul","wed",396,2,999,0,"nonexistent",-2.9,92.469,-33.6,1.029,5076.2,0
31,"admin.","single","university.degree","no","yes","no","cellular","nov","fri",54,2,999,0,"nonexistent",-0.1,93.2,-42,4.021,5195.8,0
27,"unemployed","married","high.school","no","yes","yes","telephone","may","mon",470,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,0
40,"management","married","high.school","no","no","no","cellular","may","fri",253,1,999,1,"failure",-1.8,92.893,-46.2,1.259,5099.1,0
33,"services","married","high.school","no","yes","no","cellular","jun","wed",274,2,12,2,"success",-1.7,94.055,-39.8,0.767,4991.6,1
34,"blue-collar","divorced","professional.course","no","no","no","telephone","jun","thu",884,4,999,0,"nonexistent",1.4,94.465,-41.8,4.866,5228.1,1
61,"admin.","married","university.degree","no","yes","yes","cellular","apr","thu",266,5,999,0,"nonexistent",-1.8,93.075,-47.1,1.406,5099.1,1
72,"retired","married","professional.course","no","no","no","cellular","mar","fri",87,1,3,1,"success",-1.8,93.369,-34.8,0.653,5008.7,1
34,"technician","married","professional.course","no","yes","no","telephone","may","thu",24,1,999,0,"nonexistent",-1.8,93.876,-40,0.699,5008.7,0
29,"admin.","single","high.school","unknown","no","no","cellular","jul","fri",487,3,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,0
40,"admin.","single","unknown","unknown","no","yes","telephone","may","mon",61,4,999,0,"nonexistent",1.1,93.994,-36.4,4.858,5191,0
28,"self-employed","single","university.degree","no","yes","no","cellular","may","wed",57,1,999,0,"nonexistent",-1.8,92.893,-46.2,1.334,5099.1,0
39,"blue-collar","married","basic.9y","unknown","no","no","telephone","may","thu",285,1,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,0
33,"admin.","married","university.degree","no","no","no","cellular","apr","thu",179,1,999,0,"nonexistent",-1.8,93.075,-47.1,1.365,5099.1,0
29,"blue-collar","married","basic.4y","unknown","yes","no","telephone","jun","mon",166,1,999,0,"nonexistent",1.4,94.465,-41.8,4.961,5228.1,0
53,"retired","divorced","high.school","unknown","yes","no","cellular","jul","tue",84,3,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,0
47,"management","married","basic.9y","no","no","no","cellular","jun","tue",309,1,999,0,"nonexistent",-2.9,92.963,-40.8,1.262,5076.2,0
53,"services","married","unknown","no","yes","no","cellular","jun","tue",501,3,999,0,"nonexistent",-2.9,92.963,-40.8,1.262,5076.2,1
48,"housemaid","married","basic.4y","unknown","no","yes","cellular","aug","mon",148,1,999,0,"nonexistent",1.4,93.444,-36.1,4.97,5228.1,0
39,"services","divorced","high.school","no","no","no","telephone","jun","thu",81,1,999,0,"nonexistent",1.4,94.465,-41.8,4.866,5228.1,0
38,"technician","married","professional.course","no","unknown","unknown","telephone","aug","mon",473,2,9,1,"success",-2.9,92.201,-31.4,0.821,5076.2,1
22,"services","single","high.school","no","yes","yes","cellular","jun","mon",181,1,999,0,"nonexistent",-2.9,92.963,-40.8,1.26,5076.2,0
50,"entrepreneur","married","basic.9y","no","yes","no","telephone","may","mon",331,5,999,0,"nonexistent",-1.8,92.893,-46.2,1.354,5099.1,1
47,"blue-collar","divorced","basic.4y","no","no","yes","telephone","may","mon",298,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,0
31,"technician","married","professional.course","no","yes","no","cellular","nov","thu",144,2,999,0,"nonexistent",-0.1,93.2,-42,4.076,5195.8,0
42,"admin.","single","university.degree","no","yes","no","cellular","jun","mon",570,3,999,0,"nonexistent",-2.9,92.963,-40.8,1.215,5076.2,0
29,"technician","single","basic.9y","no","yes","no","cellular","nov","wed",648,1,999,0,"nonexistent",-0.1,93.2,-42,4.12,5195.8,0
44,"admin.","divorced","high.school","no","yes","no","cellular","jul","thu",281,2,999,0,"nonexistent",1.4,93.918,-42.7,4.968,5228.1,0
49,"entrepreneur","married","university.degree","no","yes","no","telephone","may","fri",142,2,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,0
52,"technician","divorced","university.degree","unknown","no","no","cellular","nov","fri",123,1,999,0,"nonexistent",-0.1,93.2,-42,4.021,5195.8,0
31,"admin.","married","university.degree","unknown","no","no","cellular","aug","tue",609,4,999,0,"nonexistent",1.4,93.444,-36.1,4.963,5228.1,0
50,"admin.","married","high.school","no","no","no","telephone","jun","fri",513,3,999,0,"nonexistent",1.4,94.465,-41.8,4.947,5228.1,0
51,"blue-collar","divorced","unknown","unknown","yes","yes","telephone","may","tue",128,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,0
31,"management","married","university.degree","no","no","no","telephone","may","mon",100,8,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,0
56,"entrepreneur","married","university.degree","unknown","no","no","telephone","jun","thu",315,1,999,0,"nonexistent",1.4,94.465,-41.8,4.958,5228.1,0
32,"admin.","single","university.degree","no","yes","no","cellular","sep","thu",150,2,10,3,"success",-1.1,94.199,-37.5,0.884,4963.6,1
40,"technician","married","professional.course","no","yes","no","telephone","nov","tue",33,4,999,0,"nonexistent",-0.1,93.2,-42,4.153,5195.8,0
36,"technician","divorced","basic.9y","no","no","no","telephone","jul","wed",119,1,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,0
39,"technician","married","university.degree","unknown","yes","no","telephone","may","fri",407,1,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,0
50,"management","married","university.degree","unknown","yes","no","telephone","jul","thu",30,1,999,0,"nonexistent",1.4,93.918,-42.7,4.968,5228.1,0
55,"retired","married","basic.4y","no","no","no","cellular","may","tue",43,5,999,0,"nonexistent",-1.8,92.893,-46.2,1.344,5099.1,0
58,"management","single","university.degree","no","no","no","cellular","may","fri",90,1,999,0,"nonexistent",-1.8,92.893,-46.2,1.313,5099.1,0
27,"student","single","high.school","no","yes","no","cellular","may","tue",41,1,999,0,"nonexistent",-1.8,92.893,-46.2,1.291,5099.1,0
23,"student","single","high.school","no","no","no","cellular","apr","mon",400,2,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,0
58,"retired","married","professional.course","no","no","no","cellular","nov","fri",127,1,999,1,"failure",-0.1,93.2,-42,4.021,5195.8,0
31,"blue-collar","married","basic.6y","no","no","no","telephone","jun","tue",481,6,999,0,"nonexistent",1.4,94.465,-41.8,4.958,5228.1,0
42,"entrepreneur","married","basic.4y","unknown","yes","no","telephone","jul","thu",485,2,999,0,"nonexistent",1.4,93.918,-42.7,4.958,5228.1,0
30,"services","married","high.school","no","no","no","cellular","apr","thu",647,2,999,1,"failure",-1.8,93.075,-47.1,1.41,5099.1,0
28,"unknown","single","basic.9y","unknown","no","no","telephone","may","wed",298,1,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,0
45,"entrepreneur","married","high.school","no","no","no","telephone","jun","tue",1516,2,999,0,"nonexistent",1.4,94.465,-41.8,4.864,5228.1,0
33,"admin.","single","university.degree","unknown","no","no","cellular","apr","mon",73,4,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,0
48,"admin.","divorced","university.degree","no","no","no","cellular","aug","thu",172,3,3,6,"success",-1.7,94.027,-38.3,0.904,4991.6,1
39,"blue-collar","married","basic.4y","no","yes","no","telephone","may","fri",159,4,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,0
29,"blue-collar","single","basic.4y","unknown","yes","no","cellular","may","fri",340,2,999,1,"failure",-1.8,92.893,-46.2,1.313,5099.1,0
24,"student","single","high.school","no","yes","yes","cellular","jun","thu",344,1,999,0,"nonexistent",-1.7,94.055,-39.8,0.729,4991.6,0
50,"unemployed","unknown","university.degree","no","no","no","cellular","mar","fri",166,2,999,0,"nonexistent",-1.8,92.843,-50,1.64,5099.1,0
28,"technician","married","basic.9y","no","yes","no","cellular","jul","mon",236,2,999,0,"nonexistent",1.4,93.918,-42.7,4.96,5228.1,0
37,"technician","single","professional.course","no","yes","no","cellular","aug","thu",17,8,999,0,"nonexistent",1.4,93.444,-36.1,4.962,5228.1,0
35,"self-employed","married","university.degree","no","yes","no","cellular","aug","thu",884,2,999,0,"nonexistent",1.4,93.444,-36.1,4.964,5228.1,1
64,"housemaid","married","basic.4y","no","no","no","cellular","dec","thu",232,1,999,0,"nonexistent",-3,92.713,-33,0.714,5023.5,1
25,"student","single","unknown","unknown","no","no","cellular","aug","fri",248,1,999,0,"nonexistent",-2.9,92.201,-31.4,0.825,5076.2,0
50,"self-employed","married","basic.4y","unknown","yes","no","cellular","aug","mon",311,1,999,0,"nonexistent",1.4,93.444,-36.1,4.97,5228.1,0
26,"management","single","university.degree","no","yes","no","cellular","mar","thu",119,1,999,0,"nonexistent",-1.8,92.843,-50,1.65,5099.1,1
60,"retired","married","basic.9y","unknown","no","no","cellular","aug","wed",707,3,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,1
37,"admin.","single","high.school","no","yes","yes","cellular","jul","thu",114,4,999,2,"failure",-1.7,94.215,-40.3,0.782,4991.6,0
43,"admin.","divorced","high.school","no","yes","no","telephone","jul","mon",109,6,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,0
37,"management","married","university.degree","no","yes","no","cellular","aug","tue",409,1,999,0,"nonexistent",1.4,93.444,-36.1,4.968,5228.1,0
42,"blue-collar","married","basic.6y","unknown","yes","no","telephone","jun","fri",151,2,999,0,"nonexistent",1.4,94.465,-41.8,4.947,5228.1,0
55,"entrepreneur","married","professional.course","no","yes","no","cellular","nov","thu",45,2,999,1,"failure",-0.1,93.2,-42,4.076,5195.8,0
46,"technician","married","professional.course","no","yes","no","cellular","nov","mon",61,1,999,1,"failure",-0.1,93.2,-42,4.191,5195.8,0
41,"blue-collar","married","basic.9y","unknown","no","no","telephone","jun","thu",89,1,999,0,"nonexistent",1.4,94.465,-41.8,4.866,5228.1,0
35,"admin.","single","high.school","no","yes","no","cellular","jul","fri",196,2,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,0
27,"blue-collar","single","basic.9y","no","yes","yes","cellular","jul","mon",80,3,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,0
55,"admin.","married","high.school","no","no","no","telephone","jul","wed",229,1,9,1,"success",-1.7,94.215,-40.3,0.802,4991.6,1
40,"management","single","high.school","no","yes","no","cellular","nov","thu",541,1,999,0,"nonexistent",-0.1,93.2,-42,4.076,5195.8,0
45,"blue-collar","married","high.school","no","yes","no","cellular","nov","mon",162,2,999,0,"nonexistent",-3.4,92.649,-30.1,0.722,5017.5,1
38,"technician","single","university.degree","no","yes","no","telephone","may","wed",566,2,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,0
35,"services","married","basic.9y","unknown","yes","no","cellular","apr","mon",201,3,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,0
28,"blue-collar","single","professional.course","no","yes","no","cellular","may","mon",333,1,999,0,"nonexistent",-1.8,92.893,-46.2,1.299,5099.1,0
59,"retired","married","basic.9y","unknown","yes","no","cellular","aug","tue",464,2,999,0,"nonexistent",1.4,93.444,-36.1,4.966,5228.1,0
53,"admin.","divorced","university.degree","unknown","no","no","telephone","jun","mon",53,2,999,0,"nonexistent",1.4,94.465,-41.8,4.865,5228.1,0
29,"technician","single","basic.9y","no","no","no","cellular","may","thu",141,1,999,0,"nonexistent",-1.8,92.893,-46.2,1.266,5099.1,0
30,"services","married","university.degree","no","yes","no","telephone","jun","mon",83,4,999,0,"nonexistent",1.4,94.465,-41.8,4.96,5228.1,0
32,"admin.","single","university.degree","no","no","no","cellular","may","tue",144,5,999,1,"failure",-1.8,92.893,-46.2,1.291,5099.1,0
49,"admin.","married","university.degree","no","yes","no","cellular","aug","thu",260,1,999,0,"nonexistent",1.4,93.444,-36.1,4.964,5228.1,0
31,"admin.","single","university.degree","no","yes","no","telephone","jun","tue",116,1,999,0,"nonexistent",1.4,94.465,-41.8,4.864,5228.1,0
40,"blue-collar","married","basic.9y","no","yes","no","cellular","may","wed",954,1,999,0,"nonexistent",-1.8,92.893,-46.2,1.334,5099.1,1
32,"entrepreneur","married","basic.6y","no","no","no","telephone","may","tue",465,8,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,0
35,"admin.","single","high.school","no","yes","yes","cellular","may","thu",106,1,999,1,"failure",-1.8,92.893,-46.2,1.327,5099.1,0
42,"blue-collar","married","basic.4y","no","no","no","cellular","jul","thu",214,1,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,0
31,"technician","single","university.degree","no","no","no","telephone","apr","tue",207,17,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,1
48,"self-employed","divorced","university.degree","no","no","no","cellular","aug","fri",166,1,999,1,"failure",-1.7,94.027,-38.3,0.898,4991.6,0
51,"entrepreneur","single","university.degree","no","no","no","cellular","nov","thu",139,1,999,0,"nonexistent",-0.1,93.2,-42,4.076,5195.8,0
33,"admin.","married","high.school","no","yes","no","telephone","jun","mon",966,3,999,0,"nonexistent",1.4,94.465,-41.8,4.865,5228.1,0
